DATE,LTOTALNSA
1976-01-01,864.6
1976-02-01,973.3
1976-03-01,1216.1
1976-04-01,1163.2
1976-05-01,1176.1
1976-06-01,1224.9
1976-07-01,1130.1
1976-08-01,994.9
1976-09-01,1024.9
1976-10-01,1103.7
1976-11-01,1062.0
1976-12-01,1036.0
1977-01-01,945.0
1977-02-01,1065.4
1977-03-01,1414.0
1977-04-01,1320.3
1977-05-01,1344.7
1977-06-01,1424.5
1977-07-01,1171.3
1977-08-01,1201.2
1977-09-01,1073.8
1977-10-01,1306.5
1977-11-01,1154.1
1977-12-01,1061.1
1978-01-01,906.2
1978-02-01,1043.2
1978-03-01,1436.5
1978-04-01,1368.4
1978-05-01,1516.6
1978-06-01,1505.5
1978-07-01,1248.7
1978-08-01,1283.9
1978-09-01,1067.4
1978-10-01,1356.5
1978-11-01,1216.6
1978-12-01,1031.5
1979-01-01,1046.3
1979-02-01,1115.3
1979-03-01,1441.9
1979-04-01,1266.4
1979-05-01,1337.1
1979-06-01,1149.8
1979-07-01,1127.6
1979-08-01,1176.2
1979-09-01,1002.6
1979-10-01,1163.3
1979-11-01,994.5
1979-12-01,937.4
1980-01-01,1017.8
1980-02-01,1015.5
1980-03-01,1116.1
1980-04-01,924.5
1980-05-01,873.8
1980-06-01,909.5
1980-07-01,979.4
1980-08-01,859.1
1980-09-01,823.5
1980-10-01,1019.3
1980-11-01,855.0
1980-12-01,804.0
1981-01-01,795.4
1981-02-01,932.3
1981-03-01,1156.9
1981-04-01,937.5
1981-05-01,914.7
1981-06-01,924.2
1981-07-01,875.4
1981-08-01,990.1
1981-09-01,846.6
1981-10-01,803.7
1981-11-01,730.3
1981-12-01,656.5
1982-01-01,698.4
1982-02-01,826.3
1982-03-01,1039.4
1982-04-01,858.3
1982-05-01,1003.2
1982-06-01,851.3
1982-07-01,810.9
1982-08-01,779.9
1982-09-01,876.4
1982-10-01,827.5
1982-11-01,961.0
1982-12-01,824.7
1983-01-01,775.8
1983-02-01,809.8
1983-03-01,1084.6
1983-04-01,997.1
1983-05-01,1096.0
1983-06-01,1189.5
1983-07-01,1034.9
1983-08-01,976.4
1983-09-01,963.7
1983-10-01,1108.7
1983-11-01,1035.6
1983-12-01,1035.0
1984-01-01,1041.0
1984-02-01,1140.3
1984-03-01,1329.7
1984-04-01,1222.1
1984-05-01,1426.5
1984-06-01,1290.7
1984-07-01,1210.2
1984-08-01,1106.6
1984-09-01,1028.9
1984-10-01,1240.2
1984-11-01,1118.7
1984-12-01,1050.2
1985-01-01,1174.0
1985-02-01,1190.3
1985-03-01,1364.2
1985-04-01,1352.9
1985-05-01,1472.9
1985-06-01,1307.2
1985-07-01,1312.6
1985-08-01,1323.0
1985-09-01,1438.7
1985-10-01,1217.0
1985-11-01,1101.0
1985-12-01,1171.3
1986-01-01,1193.0
1986-02-01,1164.8
1986-03-01,1274.5
1986-04-01,1364.8
1986-05-01,1507.1
1986-06-01,1401.2
1986-07-01,1354.0
1986-08-01,1322.5
1986-09-01,1710.5
1986-10-01,1245.9
1986-11-01,1100.6
1986-12-01,1405.4
1987-01-01,899.8
1987-02-01,1128.6
1987-03-01,1356.9
1987-04-01,1358.2
1987-05-01,1273.8
1987-06-01,1394.5
1987-07-01,1330.9
1987-08-01,1376.4
1987-09-01,1275.6
1987-10-01,1168.3
1987-11-01,1088.1
1987-12-01,1224.0
1988-01-01,1100.9
1988-02-01,1282.9
1988-03-01,1474.2
1988-04-01,1303.0
1988-05-01,1426.5
1988-06-01,1453.4
1988-07-01,1274.7
1988-08-01,1290.7
1988-09-01,1195.4
1988-10-01,1219.7
1988-11-01,1165.2
1988-12-01,1256.6
1989-01-01,1058.8
1989-02-01,1104.1
1989-03-01,1309.9
1989-04-01,1326.1
1989-05-01,1409.7
1989-06-01,1300.5
1989-07-01,1252.2
1989-08-01,1415.0
1989-09-01,1239.6
1989-10-01,1089.7
1989-11-01,1025.9
1989-12-01,989.2
1990-01-01,1139.5
1990-02-01,1052.0
1990-03-01,1269.9
1990-04-01,1201.5
1990-05-01,1307.5
1990-06-01,1281.4
1990-07-01,1218.3
1990-08-01,1173.4
1990-09-01,1123.0
1990-10-01,1145.1
1990-11-01,982.2
1990-12-01,965.9
1991-01-01,822.2
1991-02-01,910.6
1991-03-01,1083.0
1991-04-01,1039.6
1991-05-01,1155.0
1991-06-01,1156.7
1991-07-01,1164.2
1991-08-01,1045.5
1991-09-01,1044.4
1991-10-01,1029.5
1991-11-01,917.3
1991-12-01,941.4
1992-01-01,851.1
1992-02-01,971.7
1992-03-01,1108.2
1992-04-01,1121.9
1992-05-01,1149.9
1992-06-01,1275.1
1992-07-01,1135.7
1992-08-01,1044.7
1992-09-01,1073.6
1992-10-01,1107.4
1992-11-01,970.3
1992-12-01,1047.7
1993-01-01,897.2
1993-02-01,956.5
1993-03-01,1202.7
1993-04-01,1245.8
1993-05-01,1316.5
1993-06-01,1353.8
1993-07-01,1240.5
1993-08-01,1133.4
1993-09-01,1138.5
1993-10-01,1157.0
1993-11-01,1115.9
1993-12-01,1124.9
1994-01-01,1021.9
1994-02-01,1147.2
1994-03-01,1442.0
1994-04-01,1307.4
1994-05-01,1354.0
1994-06-01,1445.7
1994-07-01,1190.7
1994-08-01,1297.1
1994-09-01,1222.3
1994-10-01,1260.5
1994-11-01,1169.2
1994-12-01,1186.9
1995-01-01,1001.0
1995-02-01,1099.1
1995-03-01,1366.6
1995-04-01,1181.3
1995-05-01,1392.2
1995-06-01,1439.6
1995-07-01,1224.9
1995-08-01,1333.7
1995-09-01,1184.3
1995-10-01,1193.0
1995-11-01,1141.6
1995-12-01,1171.1
1996-01-01,1024.1
1996-02-01,1209.2
1996-03-01,1372.5
1996-04-01,1326.4
1996-05-01,1489.0
1996-06-01,1369.0
1996-07-01,1285.0
1996-08-01,1303.1
1996-09-01,1204.0
1996-10-01,1266.7
1996-11-01,1123.2
1996-12-01,1124.9
1997-01-01,1089.2
1997-02-01,1151.2
1997-03-01,1392.9
1997-04-01,1276.4
1997-05-01,1402.7
1997-06-01,1323.4
1997-07-01,1344.6
1997-08-01,1317.1
1997-09-01,1207.4
1997-10-01,1246.7
1997-11-01,1117.8
1997-12-01,1252.5
1998-01-01,1017.1
1998-02-01,1144.0
1998-03-01,1368.8
1998-04-01,1353.1
1998-05-01,1508.8
1998-06-01,1569.5
1998-07-01,1229.6
1998-08-01,1229.1
1998-09-01,1277.9
1998-10-01,1368.5
1998-11-01,1141.1
1998-12-01,1335.5
1999-01-01,1090.7
1999-02-01,1286.8
1999-03-01,1532.4
1999-04-01,1404.3
1999-05-01,1588.4
1999-06-01,1603.5
1999-07-01,1486.5
1999-08-01,1479.8
1999-09-01,1398.2
1999-10-01,1351.9
1999-11-01,1275.8
1999-12-01,1395.4
2000-01-01,1204.8
2000-02-01,1499.8
2000-03-01,1663.5
2000-04-01,1495.4
2000-05-01,1619.7
2000-06-01,1613.9
2000-07-01,1432.0
2000-08-01,1539.6
2000-09-01,1474.4
2000-10-01,1334.0
2000-11-01,1232.3
2000-12-01,1240.3
2001-01-01,1167.9
2001-02-01,1353.1
2001-03-01,1593.6
2001-04-01,1346.3
2001-05-01,1599.8
2001-06-01,1619.6
2001-07-01,1346.9
2001-08-01,1448.5
2001-09-01,1289.1
2001-10-01,1722.4
2001-11-01,1324.5
2001-12-01,1310.7
2002-01-01,1108.482
2002-02-01,1307.003
2002-03-01,1514.73
2002-04-01,1441.794
2002-05-01,1506.76
2002-06-01,1536.508
2002-07-01,1524.422
2002-08-01,1705.595
2002-09-01,1223.89
2002-10-01,1301.113
2002-11-01,1203.093
2002-12-01,1442.823
2003-01-01,1088.199
2003-02-01,1216.018
2003-03-01,1449.681
2003-04-01,1408.148
2003-05-01,1573.551
2003-06-01,1473.897
2003-07-01,1509.489
2003-08-01,1628.911
2003-09-01,1301.276
2003-10-01,1302.6
2003-11-01,1258.681
2003-12-01,1428.651
2004-01-01,1122.521
2004-02-01,1274.511
2004-03-01,1502.72
2004-04-01,1419.387
2004-05-01,1625.255
2004-06-01,1443.644
2004-07-01,1552.94
2004-08-01,1426.191
2004-09-01,1433.618
2004-10-01,1331.827
2004-11-01,1196.165
2004-12-01,1538.086
2005-01-01,1060.511
2005-02-01,1250.683
2005-03-01,1572.585
2005-04-01,1499.407
2005-05-01,1495.78
2005-06-01,1673.756
2005-07-01,1804.325
2005-08-01,1480.822
2005-09-01,1325.956
2005-10-01,1143.072
2005-11-01,1161.567
2005-12-01,1479.707
2006-01-01,1139.926
2006-02-01,1257.182
2006-03-01,1525.66
2006-04-01,1443.779
2006-05-01,1484.938
2006-06-01,1495.919
2006-07-01,1489.597
2006-08-01,1482.517
2006-09-01,1350.482
2006-10-01,1213.124
2006-11-01,1194.895
2006-12-01,1426.089
2007-01-01,1087.39
2007-02-01,1251.102
2007-03-01,1536.912
2007-04-01,1332.402
2007-05-01,1558.722
2007-06-01,1450.15
2007-07-01,1304.27
2007-08-01,1471.223
2007-09-01,1310.451
2007-10-01,1226.589
2007-11-01,1175.363
2007-12-01,1384.414
2008-01-01,1039.126
2008-02-01,1171.68
2008-03-01,1351.539
2008-04-01,1243.507
2008-05-01,1392.824
2008-06-01,1185.273
2008-07-01,1132.262
2008-08-01,1246.798
2008-09-01,962.306
2008-10-01,834.592
2008-11-01,743.609
2008-12-01,891.318
2009-01-01,654.893
2009-02-01,687.174
2009-03-01,855.181
2009-04-01,817.325
2009-05-01,923.902
2009-06-01,857.425
2009-07-01,995.699
2009-08-01,1260.07
2009-09-01,744.198
2009-10-01,835.691
2009-11-01,744.478
2009-12-01,1026.256
2010-01-01,696.571
2010-02-01,778.457
2010-03-01,1063.632
2010-04-01,980.424
2010-05-01,1100.755
2010-06-01,981.288
2010-07-01,1047.006
2010-08-01,994.326
2010-09-01,955.942
2010-10-01,946.613
2010-11-01,869.68
2010-12-01,1140.13
2011-01-01,818.138
2011-02-01,987.943
2011-03-01,1251.321
2011-04-01,1150.473
2011-05-01,1056.136
2011-06-01,1043.754
2011-07-01,1062.411
2011-08-01,1066.797
2011-09-01,1048.697
2011-10-01,1019.196
2011-11-01,1002.05
2011-12-01,1234.9
2012-01-01,913.876
2012-02-01,1148.86
2012-03-01,1402.165
2012-04-01,1175.666
2012-05-01,1338.04
2012-06-01,1279.747
2012-07-01,1142.849
2012-08-01,1274.98
2012-09-01,1179.645
2012-10-01,1090.298
2012-11-01,1144.02
2012-12-01,1343.057
2013-01-01,1040.808
2013-02-01,1193.022
2013-03-01,1453.654
2013-04-01,1283.203
2013-05-01,1442.909
2013-06-01,1394.274
2013-07-01,1306.247
2013-08-01,1498.663
2013-09-01,1124.263
2013-10-01,1201.662
2013-11-01,1243.666
2013-12-01,1347.73
2014-01-01,1016.377
2014-02-01,1194.307
2014-03-01,1530.482
2014-04-01,1373.829
2014-05-01,1610.603
2014-06-01,1417.619
2014-07-01,1437.616
2014-08-01,1571.672
2014-09-01,1235.539
2014-10-01,1273.698
2014-11-01,1294.106
2014-12-01,1496.342
2015-01-01,1147.713
2015-02-01,1254.518
2015-03-01,1542.349
2015-04-01,1444.196
2015-05-01,1632.551
2015-06-01,1476.226
2015-07-01,1507.094
2015-08-01,1560.371
2015-09-01,1438.495
2015-10-01,1448.641
2015-11-01,1324.585
2015-12-01,1631.252
2016-01-01,1157.949
2016-02-01,1341.875
2016-03-01,1574.683
2016-04-01,1490.764
2016-05-01,1519.653
2016-06-01,1514.078
2016-07-01,1517.483
2016-08-01,1507.192
2016-09-01,1430.893
2016-10-01,1368.476
2016-11-01,1371.003
2016-12-01,1683.262
2017-01-01,1139.486
2017-02-01,1325.195
2017-03-01,1548.831
2017-04-01,1418.963
2017-05-01,1510.577
2017-06-01,1466.048
2017-07-01,1409.703
2017-08-01,1474.998
2017-09-01,1518.196
2017-10-01,1350.296
2017-11-01,1390.337
2017-12-01,1597.455
2018-01-01,1151.908
2018-02-01,1294.694
2018-03-01,1647.975
2018-04-01,1354.484
2018-05-01,1587.518
2018-06-01,1544.695
2018-07-01,1363.887
2018-08-01,1483.169
2018-09-01,1432.993
2018-10-01,1361.288
2018-11-01,1383.388
2018-12-01,1618.949
2019-01-01,1133.666
2019-02-01,1252.156
2019-03-01,1599.488
2019-04-01,1327.238
2019-05-01,1582.162
2019-06-01,1510.42
2019-07-01,1397.004
2019-08-01,1639.332
2019-09-01,1267.674
2019-10-01,1334.849
2019-11-01,1404.031
2019-12-01,1513.042
2020-01-01,1136.56
2020-02-01,1350.57
2020-03-01,989.954
2020-04-01,715.322
2020-05-01,1119.089
2020-06-01,1100.985
2020-07-01,1236.643
2020-08-01,1318.07
2020-09-01,1341.099
2020-10-01,1358.922
2020-11-01,1199.137
2020-12-01,1605.497
2021-01-01,1106.286
2021-02-01,1193.776
2021-03-01,1597.152
2021-04-01,1518.415
2021-05-01,1570.313
2021-06-01,1302.213
2021-07-01,1280.803
2021-08-01,1092.661
2021-09-01,1015.935
2021-10-01,1051.015
2021-11-01,1014.411
2021-12-01,1203.993
2022-01-01,989.56
2022-02-01,1045.307
2022-03-01,1246.336
